submarine,country,type,class,platform_tier,ESM,THREAT_WARNING,ACOUSTIC_COUNTERMEASURE,DECOY,NOISE_MAKER,TORPEDO_DEFENSE,LAUNCHER,DEFENSIVE_CONTROL,INTEGRATED_DEFENSE,confirmed,probable,gameplay,unknown,incompatible
US_SSN_Skipjack,USA,SSN,Skipjack,2,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),UNKNOWN (4),GAMEPLAY (5),GAMEPLAY (3),INCOMPATIBLE (2),0,0,15,11,19
US_SSN_Sturgeon,USA,SSN,Sturgeon,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
US_SSN_LosAngeles,USA,SSN,Los Angeles,6,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,36,8,1
US_SSN_Seawolf,USA,SSN,Seawolf,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
US_SSN_Virginia,USA,SSN,Virginia,9,CONFIRMED (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),1,0,44,0,0
US_SSBN_GeorgeWashington,USA,SSBN,George Washington,2,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),UNKNOWN (4),GAMEPLAY (5),GAMEPLAY (3),INCOMPATIBLE (2),0,0,15,11,19
US_SSBN_EthanAllen,USA,SSBN,Ethan Allen,3,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,21,10,14
US_SSBN_Lafayette,USA,SSBN,Lafayette,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
US_SSBN_JamesMadison,USA,SSBN,James Madison,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
US_SSBN_BenjaminFranklin,USA,SSBN,Benjamin Franklin,5,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,31,10,4
US_SSBN_Ohio,USA,SSBN,Ohio,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
US_SSBN_Columbia,USA,SSBN,Columbia,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
RU_SSN_November,Russia,SSN,November,2,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),UNKNOWN (4),GAMEPLAY (5),GAMEPLAY (3),INCOMPATIBLE (2),0,0,15,11,19
RU_SSN_Victor,Russia,SSN,Victor,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
RU_SSN_Sierra,Russia,SSN,Sierra,6,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,36,8,1
RU_SSN_Akula,Russia,SSN,Akula,7,GAMEPLAY (10),GAMEPLAY (5),PROBABLE (6),PROBABLE (6),GAMEPLAY (4),GAMEPLAY (4),PROBABLE (5),GAMEPLAY (3),GAMEPLAY (2),0,4,37,4,0
RU_SSN_Yasen,Russia,SSN,Yasen,9,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
RU_SSN_YasenM,Russia,SSN,Yasen-M,10,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,45,0,0
RU_SSBN_Hotel,Russia,SSBN,Hotel,2,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),UNKNOWN (4),GAMEPLAY (5),GAMEPLAY (3),INCOMPATIBLE (2),0,0,15,11,19
RU_SSBN_Yankee,Russia,SSBN,Yankee,4,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),UNKNOWN (2),0,0,26,10,9
RU_SSBN_DeltaI,Russia,SSBN,Delta I,5,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,31,10,4
RU_SSBN_DeltaII,Russia,SSBN,Delta II,5,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,31,10,4
RU_SSBN_DeltaIII,Russia,SSBN,Delta III,6,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,36,8,1
RU_SSBN_DeltaIV,Russia,SSBN,Delta IV,7,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),PROBABLE (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,1,40,4,0
RU_SSBN_Typhoon,Russia,SSBN,Typhoon,8,GAMEPLAY (10),GAMEPLAY (5),GAMEPLAY (6),GAMEPLAY (6),GAMEPLAY (4),GAMEPLAY (4),GAMEPLAY (5),GAMEPLAY (3),GAMEPLAY (2),0,0,44,1,0
