submarine_id,country,type,PASSIVE,ACTIVE,BOW,FLANK,TOWED,HF,MINE,NAV,PHOTONICS,EOIR,RADAR,ESM,PROCESSING
US_SSN_Skipjack,USA,SSN,GEN_SONAR_PSV_T2:GAMEPLAY,GEN_SONAR_ACT_T2:GAMEPLAY,GEN_SONAR_BOW_T2:GAMEPLAY,GEN_SONAR_FLK_T2:GAMEPLAY,GEN_SONAR_TWD_T2:GAMEPLAY,GEN_SONAR_HF_T2:GAMEPLAY,GEN_SONAR_MINE_T2:GAMEPLAY,GEN_SONAR_NAV_T2:GAMEPLAY,GEN_MAST_PHO_T2:GAMEPLAY,GEN_EOIR_T2:GAMEPLAY,GEN_RADAR_T2:GAMEPLAY,GEN_ESM_T2:GAMEPLAY,GEN_PROC_T2:GAMEPLAY
US_SSN_Sturgeon,USA,SSN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,US_SONAR_BQQ5:PROBABLE,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
US_SSN_LosAngeles,USA,SSN,GEN_SONAR_PSV_T6:GAMEPLAY,GEN_SONAR_ACT_T6:GAMEPLAY,US_SONAR_BQQ10:CONFIRMED,GEN_SONAR_FLK_T6:GAMEPLAY,US_SONAR_TB29:CONFIRMED,US_SONAR_BQS15:PROBABLE,GEN_SONAR_MINE_T6:GAMEPLAY,GEN_SONAR_NAV_T6:GAMEPLAY,GEN_MAST_PHO_T6:GAMEPLAY,GEN_EOIR_T6:GAMEPLAY,US_RADAR_BPS16:CONFIRMED,US_ESM_BLQ10:CONFIRMED,GEN_PROC_T6:GAMEPLAY
US_SSN_Seawolf,USA,SSN,GEN_SONAR_PSV_T8:GAMEPLAY,GEN_SONAR_ACT_T8:GAMEPLAY,US_SONAR_BQQ10:CONFIRMED,GEN_SONAR_FLK_T8:GAMEPLAY,GEN_SONAR_TWD_T8:GAMEPLAY,GEN_SONAR_HF_T8:GAMEPLAY,GEN_SONAR_MINE_T8:GAMEPLAY,GEN_SONAR_NAV_T8:GAMEPLAY,GEN_MAST_PHO_T8:GAMEPLAY,GEN_EOIR_T8:GAMEPLAY,US_RADAR_BPS16:CONFIRMED,US_ESM_BLQ10:CONFIRMED,GEN_PROC_T8:GAMEPLAY
US_SSN_Virginia,USA,SSN,GEN_SONAR_PSV_T9:GAMEPLAY,GEN_SONAR_ACT_T9:GAMEPLAY,US_SONAR_LAB:CONFIRMED,GEN_SONAR_FLK_T9:GAMEPLAY,US_SONAR_TB29:CONFIRMED,GEN_SONAR_HF_T9:GAMEPLAY,GEN_SONAR_MINE_T9:GAMEPLAY,GEN_SONAR_NAV_T9:GAMEPLAY,US_PHO_Virginia:CONFIRMED,GEN_EOIR_T9:GAMEPLAY,US_RADAR_BPS16:CONFIRMED,US_ESM_BLQ10:CONFIRMED,GEN_PROC_T9:GAMEPLAY
US_SSBN_GeorgeWashington,USA,SSBN,GEN_SONAR_PSV_T2:GAMEPLAY,GEN_SONAR_ACT_T2:GAMEPLAY,GEN_SONAR_BOW_T2:GAMEPLAY,GEN_SONAR_FLK_T2:GAMEPLAY,GEN_SONAR_TWD_T2:GAMEPLAY,GEN_SONAR_HF_T2:GAMEPLAY,GEN_SONAR_MINE_T2:GAMEPLAY,GEN_SONAR_NAV_T2:GAMEPLAY,GEN_MAST_PHO_T2:GAMEPLAY,GEN_EOIR_T2:GAMEPLAY,GEN_RADAR_T2:GAMEPLAY,GEN_ESM_T2:GAMEPLAY,GEN_PROC_T2:GAMEPLAY
US_SSBN_EthanAllen,USA,SSBN,GEN_SONAR_PSV_T3:GAMEPLAY,GEN_SONAR_ACT_T3:GAMEPLAY,GEN_SONAR_BOW_T3:GAMEPLAY,GEN_SONAR_FLK_T3:GAMEPLAY,GEN_SONAR_TWD_T3:GAMEPLAY,GEN_SONAR_HF_T3:GAMEPLAY,GEN_SONAR_MINE_T3:GAMEPLAY,GEN_SONAR_NAV_T3:GAMEPLAY,GEN_MAST_PHO_T3:GAMEPLAY,GEN_EOIR_T3:GAMEPLAY,GEN_RADAR_T3:GAMEPLAY,GEN_ESM_T3:GAMEPLAY,GEN_PROC_T3:GAMEPLAY
US_SSBN_Lafayette,USA,SSBN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,GEN_SONAR_BOW_T4:GAMEPLAY,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
US_SSBN_JamesMadison,USA,SSBN,GEN_SONAR_PSV_T4:GAMEPLAY,GEN_SONAR_ACT_T4:GAMEPLAY,GEN_SONAR_BOW_T4:GAMEPLAY,GEN_SONAR_FLK_T4:GAMEPLAY,GEN_SONAR_TWD_T4:GAMEPLAY,GEN_SONAR_HF_T4:GAMEPLAY,GEN_SONAR_MINE_T4:GAMEPLAY,GEN_SONAR_NAV_T4:GAMEPLAY,GEN_MAST_PHO_T4:GAMEPLAY,GEN_EOIR_T4:GAMEPLAY,GEN_RADAR_T4:GAMEPLAY,GEN_ESM_T4:GAMEPLAY,GEN_PROC_T4:GAMEPLAY
US_SSBN_BenjaminFranklin,USA,SSBN,GEN_SONAR_PSV_T5:GAMEPLAY,GEN_SONAR_ACT_T5:GAMEPLAY,GEN_SONAR_BOW_T5:GAMEPLAY,GEN_SONAR_FLK_T5:GAMEPLAY,GEN_SONAR_TWD_T5:GAMEPLAY,GEN_SONAR_HF_T5:GAMEPLAY,GEN_SONAR_MINE_T5:GAMEPLAY,GEN_SONAR_NAV_T5:GAMEPLAY,GEN_MAST_PHO_T5:GAMEPLAY,GEN_EOIR_T5:GAMEPLAY,GEN_RADAR_T5:GAMEPLAY,GEN_ESM_T5:GAMEPLAY,GEN_PROC_T5:GAMEPLAY
