Submarine,Country,Type,Tier,Weapon Category,Weapon Family,Weapon Variant,Slot,Compatibility,Source
CN_SSBN_Type092,China,SSBN,5,SLBM,CN_SLBM_JL1,CN_SLBM_JL1,SLBM,CONFIRMED,该级战略武器。
CN_SSBN_Type092,China,SSBN,5,TORP,CN_TORP_Yu3,CN_TORP_Yu3,TORPEDO,CONFIRMED,自卫鱼雷。
CN_SSBN_Type094,China,SSBN,8,SLBM,CN_SLBM_JL2,CN_SLBM_JL2,SLBM,CONFIRMED,该级战略武器。
CN_SSBN_Type094,China,SSBN,8,TORP,CN_TORP_Yu6,CN_TORP_Yu6,TORPEDO,PROBABLE,自卫鱼雷。
CN_SSBN_Type094,China,SSBN,8,TORP,CN_TORP_Yu7,CN_TORP_Yu7,TORPEDO,PROBABLE,自卫轻型反潜鱼雷。
CN_SSBN_Type094A,China,SSBN,9,SLBM,CN_SLBM_JL2,CN_SLBM_JL2,SLBM,CONFIRMED,该级战略武器。
CN_SSBN_Type094A,China,SSBN,9,TORP,CN_TORP_Yu6,CN_TORP_Yu6,TORPEDO,PROBABLE,自卫鱼雷。
CN_SSBN_Type094A,China,SSBN,9,TORP,CN_TORP_Yu7,CN_TORP_Yu7,TORPEDO,GAMEPLAY,游戏内补充轻型反潜选项。
CN_SSBN_Type096,China,SSBN,10,SLBM,CN_SLBM_JL3,CN_SLBM_JL3,SLBM,CONFIRMED,公开资料显示该级配套新一代潜射弹道导弹。
CN_SSBN_Type096,China,SSBN,10,TORP,CN_TORP_Yu7,CN_TORP_Yu7,TORPEDO,GAMEPLAY,计划型号，游戏内补充轻型反潜选项。
CN_SSN_Type091,China,SSN,4,TORP,CN_TORP_Yu1,CN_TORP_Yu1,TORPEDO,PROBABLE,早期仿制蒸汽鱼雷，逐艇资料不完整。
CN_SSN_Type091,China,SSN,4,TORP,CN_TORP_Yu3,CN_TORP_Yu3,TORPEDO,CONFIRMED,主力电动声自导鱼雷。
CN_SSN_Type091,China,SSN,4,TORP,CN_TORP_Yu3,CN_TORP_Yu4,TORPEDO,PROBABLE,同代热动力鱼雷。
CN_SSN_Type093,China,SSN,7,ASM,CN_ASM_YJ8,CN_ASM_YJ8,MISSILE,PROBABLE,公开资料显示早期批次具备潜射反舰导弹能力。
CN_SSN_Type093,China,SSN,7,ASW,CN_ASW_CY1,CN_ASW_CY1,MISSILE,PROBABLE,公开资料显示具备潜射反潜导弹能力。
CN_SSN_Type093,China,SSN,7,TORP,CN_TORP_Yu3,CN_TORP_Yu3,TORPEDO,CONFIRMED,主力鱼雷。
CN_SSN_Type093,China,SSN,7,TORP,CN_TORP_Yu3,CN_TORP_Yu4,TORPEDO,PROBABLE,同代热动力鱼雷。
CN_SSN_Type093,China,SSN,7,TORP,CN_TORP_Yu6,CN_TORP_Yu6,TORPEDO,PROBABLE,后期批次换装现代鱼雷。
CN_SSN_Type093A,China,SSN,8,ASM,CN_ASM_YJ18,CN_ASM_YJ18,VLS,PROBABLE,公开资料显示后续批次具备该型导弹能力。
CN_SSN_Type093A,China,SSN,8,ASM,CN_ASM_YJ8,CN_ASM_YJ8,MISSILE,CONFIRMED,潜射反舰巡航导弹。
CN_SSN_Type093A,China,SSN,8,ASW,CN_ASW_CY1,CN_ASW_CY1,MISSILE,PROBABLE,潜射反潜导弹。
CN_SSN_Type093A,China,SSN,8,TORP,CN_TORP_Yu6,CN_TORP_Yu6,TORPEDO,CONFIRMED,现役主力鱼雷。
CN_SSN_Type093B,China,SSN,9,ASM,CN_ASM_YJ18,CN_ASM_YJ18,VLS,CONFIRMED,垂直发射系统载荷。
CN_SSN_Type093B,China,SSN,9,LAM,CN_ASM_YJ18,CN_LAM_YJ18_LandAttack,VLS,PROBABLE,对陆攻击分支。
CN_SSN_Type093B,China,SSN,9,TORP,CN_TORP_Yu6,CN_TORP_Yu6,TORPEDO,CONFIRMED,现役主力鱼雷。
CN_SSN_Type093B,China,SSN,9,TORP,CN_TORP_Yu7,CN_TORP_Yu7,TORPEDO,PROBABLE,轻型反潜鱼雷。
CN_SSN_Type095,China,SSN,10,ASM,CN_ASM_YJ18,CN_ASM_YJ18,VLS,GAMEPLAY,计划型号，游戏内按现役同类武器配置。
CN_SSN_Type095,China,SSN,10,LAM,CN_ASM_YJ18,CN_LAM_YJ18_LandAttack,VLS,GAMEPLAY,计划型号，游戏内按现役同类武器配置。
CN_SSN_Type095,China,SSN,10,TORP,CN_TORP_Yu6,CN_TORP_Yu6,TORPEDO,PROBABLE,现役鱼雷的延续型号。
FR_SSBN_LeRedoutable,France,SSBN,4,ASM,FR_ASM_Exocet_SM39,FR_ASM_Exocet_SM39,MISSILE,PROBABLE,自卫反舰导弹。
FR_SSBN_LeRedoutable,France,SSBN,4,SLBM,FR_SLBM_M2,FR_SLBM_M20,SLBM,PROBABLE,早期批次战略武器。
FR_SSBN_LeRedoutable,France,SSBN,4,SLBM,FR_SLBM_M4,FR_SLBM_M4,SLBM,CONFIRMED,该级后期主力战略武器。
FR_SSBN_LeRedoutable,France,SSBN,4,SLBM,FR_SLBM_M4,FR_SLBM_M45,SLBM,UNKNOWN,M45 主要与后一级配套，对应关系不确定。
FR_SSBN_LeRedoutable,France,SSBN,4,TORP,FR_TORP_L5,FR_TORP_L5_Mod3,TORPEDO,CONFIRMED,自卫鱼雷。
FR_SSBN_LeTriomphant,France,SSBN,8,ASM,FR_ASM_Exocet_SM39,FR_ASM_Exocet_SM39,MISSILE,PROBABLE,自卫反舰导弹。
FR_SSBN_LeTriomphant,France,SSBN,8,SLBM,FR_SLBM_M4,FR_SLBM_M45,SLBM,CONFIRMED,早期批次战略武器。
FR_SSBN_LeTriomphant,France,SSBN,8,SLBM,FR_SLBM_M51,FR_SLBM_M51,SLBM,CONFIRMED,换装后现役战略武器。
FR_SSBN_LeTriomphant,France,SSBN,8,TORP,FR_TORP_F17,FR_TORP_F17,TORPEDO,PROBABLE,早期批次自卫鱼雷。
FR_SSBN_LeTriomphant,France,SSBN,8,TORP,FR_TORP_F21,FR_TORP_F21,TORPEDO,CONFIRMED,自卫鱼雷。
FR_SSBN_SNLE3G,France,SSBN,10,ASM,FR_ASM_Exocet_SM39,FR_ASM_Exocet_SM39,MISSILE,PROBABLE,预计沿用现役反舰导弹。
FR_SSBN_SNLE3G,France,SSBN,10,SLBM,FR_SLBM_M51,FR_SLBM_M51,SLBM,CONFIRMED,公开资料确认将搭载 M51 系列导弹。
FR_SSBN_SNLE3G,France,SSBN,10,TORP,FR_TORP_F21,FR_TORP_F21,TORPEDO,PROBABLE,预计沿用现役鱼雷。
FR_SSN_Rubis,France,SSN,6,ASM,FR_ASM_Exocet_SM39,FR_ASM_Exocet_SM39,MISSILE,CONFIRMED,经发射管布放的潜射反舰导弹。
FR_SSN_Rubis,France,SSN,6,TORP,FR_TORP_F17,FR_TORP_F17,TORPEDO,PROBABLE,重型热动力鱼雷。
FR_SSN_Rubis,France,SSN,6,TORP,FR_TORP_F21,FR_TORP_F21,TORPEDO,PROBABLE,现代化改装批次。
FR_SSN_Rubis,France,SSN,6,TORP,FR_TORP_L5,FR_TORP_L5_Mod3,TORPEDO,CONFIRMED,服役初期主力鱼雷。
FR_SSN_Rubis,France,SSN,6,TORP,FR_TORP_L5,FR_TORP_L5_Mod4,TORPEDO,PROBABLE,后期换装改进型。
FR_SSN_Suffren,France,SSN,9,ASM,FR_ASM_Exocet_SM39,FR_ASM_Exocet_SM39,MISSILE,CONFIRMED,潜射反舰导弹。
FR_SSN_Suffren,France,SSN,9,LAM,FR_LAM_MdCN,FR_LAM_MdCN,MISSILE,CONFIRMED,现役对陆攻击巡航导弹，经发射管布放。
FR_SSN_Suffren,France,SSN,9,TORP,FR_TORP_F17,FR_TORP_F17,TORPEDO,PROBABLE,同代重型鱼雷。
FR_SSN_Suffren,France,SSN,9,TORP,FR_TORP_F21,FR_TORP_F21,TORPEDO,CONFIRMED,现役主力重型鱼雷。
IN_SSBN_Arighaat,India,SSBN,8,SLBM,IN_SLBM_K15,IN_SLBM_K15,SLBM,PROBABLE,早期批次。
IN_SSBN_Arighaat,India,SSBN,8,SLBM,IN_SLBM_K4,IN_SLBM_K4,SLBM,CONFIRMED,该级战略武器。
IN_SSBN_Arighaat,India,SSBN,8,TORP,IN_TORP_Varunastra,IN_TORP_Varunastra,TORPEDO,PROBABLE,自卫鱼雷。
IN_SSBN_Arihant,India,SSBN,7,SLBM,IN_SLBM_K15,IN_SLBM_K15,SLBM,CONFIRMED,首艇批次战略武器。
IN_SSBN_Arihant,India,SSBN,7,SLBM,IN_SLBM_K4,IN_SLBM_K4,SLBM,PROBABLE,后续批次换装中程型号。
IN_SSBN_Arihant,India,SSBN,7,TORP,IN_TORP_TAL,IN_TORP_TAL,,PROBABLE,自卫鱼雷。
IN_SSBN_Arihant,India,SSBN,7,TORP,IN_TORP_Varunastra,IN_TORP_Varunastra,TORPEDO,PROBABLE,国产重型鱼雷。
IN_SSBN_S4,India,SSBN,9,SLBM,IN_SLBM_K4,IN_SLBM_K4,SLBM,CONFIRMED,该级战略武器。
IN_SSBN_S4,India,SSBN,9,SLBM,IN_SLBM_K5,IN_SLBM_K5,SLBM,GAMEPLAY,下一代计划型号，游戏内作为进阶节点。
IN_SSBN_S4,India,SSBN,9,TORP,IN_TORP_Varunastra,IN_TORP_Varunastra,TORPEDO,PROBABLE,自卫鱼雷。
IN_SSBN_S5,India,SSBN,10,SLBM,IN_SLBM_K4,IN_SLBM_K4,SLBM,PROBABLE,过渡批次。
IN_SSBN_S5,India,SSBN,10,SLBM,IN_SLBM_K5,IN_SLBM_K5,SLBM,GAMEPLAY,计划型号，游戏内作为顶级战略节点。
IN_SSBN_S5,India,SSBN,10,TORP,IN_TORP_Varunastra,IN_TORP_Varunastra,TORPEDO,PROBABLE,自卫鱼雷。
RU_SSBN_Borei,Russia,SSBN,9,DECOY,RU_DECOY_MG74,RU_DECOY_MG74,TORPEDO,PROBABLE,自卫诱饵。
RU_SSBN_Borei,Russia,SSBN,9,SLBM,RU_SLBM_R30,RU_SLBM_R30_Bulava,SLBM,CONFIRMED,该级唯一战略武器。
RU_SSBN_Borei,Russia,SSBN,9,TORP,RU_TORP_UGST,RU_TORP_UGST,TORPEDO,PROBABLE,自卫重型鱼雷。
RU_SSBN_Borei,Russia,SSBN,9,TORP,RU_TORP_USET80,RU_TORP_USET80K,TORPEDO,PROBABLE,自卫鱼雷。
RU_SSBN_BoreiA,Russia,SSBN,10,DECOY,RU_DECOY_MG74,RU_DECOY_MG74,TORPEDO,PROBABLE,自卫诱饵。
RU_SSBN_BoreiA,Russia,SSBN,10,SLBM,RU_SLBM_R30,RU_SLBM_R30_Bulava,SLBM,CONFIRMED,该级唯一战略武器。
RU_SSBN_BoreiA,Russia,SSBN,10,TORP,RU_TORP_Fizik,RU_TORP_Fizik,TORPEDO,PROBABLE,新一代自卫鱼雷。
RU_SSBN_BoreiA,Russia,SSBN,10,TORP,RU_TORP_UGST,RU_TORP_UGST_M,TORPEDO,PROBABLE,自卫重型鱼雷。
RU_SSBN_DeltaI,Russia,SSBN,5,SLBM,RU_SLBM_R29,RU_SLBM_R29,SLBM,CONFIRMED,该级主力战略武器。
RU_SSBN_DeltaI,Russia,SSBN,5,TORP,RU_TORP_SET53,RU_TORP_SET65,TORPEDO,CONFIRMED,自卫鱼雷。
RU_SSBN_DeltaII,Russia,SSBN,5,SLBM,RU_SLBM_R29,RU_SLBM_R29,SLBM,CONFIRMED,早期批次武器。
RU_SSBN_DeltaII,Russia,SSBN,5,SLBM,RU_SLBM_R29,RU_SLBM_R29R,SLBM,PROBABLE,后期批次分导式型号。
RU_SSBN_DeltaII,Russia,SSBN,5,TORP,RU_TORP_5365,RU_TORP_5365K,TORPEDO,PROBABLE,自卫反舰鱼雷。
RU_SSBN_DeltaII,Russia,SSBN,5,TORP,RU_TORP_SET53,RU_TORP_SET65,TORPEDO,CONFIRMED,自卫鱼雷。
RU_SSBN_DeltaIII,Russia,SSBN,6,ASW,RU_ASW_Vodopad,RU_ASW_Vodopad,MISSILE,PROBABLE,自卫反潜导弹。
RU_SSBN_DeltaIII,Russia,SSBN,6,SLBM,RU_SLBM_R29,RU_SLBM_R29R,SLBM,CONFIRMED,该级主力战略武器。
RU_SSBN_DeltaIII,Russia,SSBN,6,SLBM,RU_SLBM_R29,RU_SLBM_R29RM,SLBM,PROBABLE,后期批次改装更远程型号。
RU_SSBN_DeltaIII,Russia,SSBN,6,TORP,RU_TORP_USET80,RU_TORP_USET80,TORPEDO,PROBABLE,自卫鱼雷。
RU_SSBN_DeltaIV,Russia,SSBN,7,ASW,RU_ASW_Vodopad,RU_ASW_Vodopad,MISSILE,PROBABLE,自卫反潜导弹。
RU_SSBN_DeltaIV,Russia,SSBN,7,DECOY,RU_DECOY_MG74,RU_DECOY_MG74,TORPEDO,PROBABLE,自卫诱饵。
RU_SSBN_DeltaIV,Russia,SSBN,7,SLBM,RU_SLBM_R29,RU_SLBM_R29RM,SLBM,CONFIRMED,该级主力战略武器。
RU_SSBN_DeltaIV,Russia,SSBN,7,SLBM,RU_SLBM_R29,RU_SLBM_R29RMU2_Liner,SLBM,PROBABLE,同族后续批次。
RU_SSBN_DeltaIV,Russia,SSBN,7,SLBM,RU_SLBM_R29,RU_SLBM_R29RMU2_Sineva,SLBM,CONFIRMED,换装改进型。
RU_SSBN_DeltaIV,Russia,SSBN,7,TORP,RU_TORP_TEST71,RU_TORP_TEST71M,TORPEDO,PROBABLE,自卫线导鱼雷。
RU_SSBN_DeltaIV,Russia,SSBN,7,TORP,RU_TORP_USET80,RU_TORP_USET80,TORPEDO,PROBABLE,自卫鱼雷。
RU_SSBN_Hotel,Russia,SSBN,2,SLBM,RU_SLBM_R13,RU_SLBM_R13,SLBM,CONFIRMED,首代苏联潜射弹道导弹。
RU_SSBN_Hotel,Russia,SSBN,2,SLBM,RU_SLBM_R21,RU_SLBM_R21,SLBM,PROBABLE,后期改装批次使用 R-21。
RU_SSBN_Hotel,Russia,SSBN,2,TORP,RU_TORP_SET53,RU_TORP_SET53,TORPEDO,CONFIRMED,自卫鱼雷。
RU_SSBN_Typhoon,Russia,SSBN,8,ASW,RU_ASW_Vodopad,RU_ASW_Vodopad,MISSILE,CONFIRMED,自卫反潜导弹。
RU_SSBN_Typhoon,Russia,SSBN,8,SLBM,RU_SLBM_R29,RU_SLBM_R29RM,SLBM,PROBABLE,该级真实主力型号 R-39 尚未进入武器库，当前以同代 R-29RM 作为科技树占位并标记 PROBABLE。
RU_SSBN_Typhoon,Russia,SSBN,8,TORP,RU_TORP_SET53,RU_TORP_SET65,TORPEDO,CONFIRMED,自卫鱼雷。
RU_SSBN_Typhoon,Russia,SSBN,8,TORP,RU_TORP_Shkval,RU_TORP_Shkval,TORPEDO,PROBABLE,公开资料显示具备该型鱼雷发射能力。
RU_SSBN_Typhoon,Russia,SSBN,8,TORP,RU_TORP_USET80,RU_TORP_USET80,TORPEDO,PROBABLE,后期换装通用鱼雷。
RU_SSBN_Yankee,Russia,SSBN,4,SLBM,RU_SLBM_R27,RU_SLBM_R27,SLBM,CONFIRMED,该级主力战略武器。
RU_SSBN_Yankee,Russia,SSBN,4,SLBM,RU_SLBM_R29,RU_SLBM_R29,SLBM,UNKNOWN,部分艇只改装为其他用途，武器对应关系不确定。
RU_SSBN_Yankee,Russia,SSBN,4,TORP,RU_TORP_5365,RU_TORP_5365K,TORPEDO,PROBABLE,自卫反舰鱼雷。
RU_SSBN_Yankee,Russia,SSBN,4,TORP,RU_TORP_SET53,RU_TORP_SET65,TORPEDO,CONFIRMED,自卫鱼雷。
RU_SSN_Akula,Russia,SSN,7,ASM,RU_MISSILE_Kalibr,RU_ASM_Kalibr_3M54,VLS,PROBABLE,改进批次可经发射管布放巡航导弹。
RU_SSN_Akula,Russia,SSN,7,ASW,RU_ASW_Vodopad,RU_ASW_Vodopad,MISSILE,CONFIRMED,反潜导弹发射能力。
RU_SSN_Akula,Russia,SSN,7,DECOY,RU_DECOY_MG74,RU_DECOY_MG74,TORPEDO,PROBABLE,自航式声学诱饵。
