Tier,Category,Family,Weapon,Display Name,Country,Era,Service Years,Subrole,Asset Priority,Confidence
T1,TORP,US_TORP_Mk14,US_TORP_Mk14,Mk 14 torpedo,USA,Early,1940-1960s,Early_Heavyweight,MEDIUM,PUBLIC
T1,TORP,US_TORP_Mk14,US_TORP_Mk18,Mk 18 torpedo,USA,Early,1943-1950s,Early_Heavyweight,LOW,PUBLIC
T1,TORP,US_TORP_Mk14,US_TORP_Mk23,Mk 23 torpedo,USA,Early,1944-1946,Early_Heavyweight,LOW,PUBLIC
T2,SLBM,RU_SLBM_R13,RU_SLBM_R13,R-13 (SS-N-4),Russia,Cold War,1961-1970s,Early_SLBM,MEDIUM,PUBLIC
T2,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A1,Polaris A1,USA,Cold War,1960-1965,Early_SLBM,MEDIUM,PUBLIC
T2,TORP,CN_TORP_Yu1,CN_TORP_Yu1,Yu-1 torpedo,China,Cold War,1970s-1990s,Early_Heavyweight,LOW,PUBLIC
T2,TORP,UK_TORP_Mk8,UK_TORP_Mk8,Mk 8 Mod 4 torpedo,UK,Cold War,1950s-1980s,Early_Heavyweight,MEDIUM,PUBLIC
T2,TORP,US_TORP_Mk16,US_TORP_Mk16,Mk 16 torpedo,USA,Cold War,1950s-1970s,Early_Heavyweight,LOW,PUBLIC
T2,TORP,US_TORP_Mk27,US_TORP_Mk27,Mk 27 Mod 4 torpedo,USA,Early,1944-1945,Acoustic_Homing,LOW,PUBLIC
T3,ASM,RU_ASM_P5,RU_ASM_P5,P-5 Pyatyorka,Russia,Cold War,1959-1960s,Early_Cruise,MEDIUM,PUBLIC
T3,ASM,RU_ASM_P5,RU_ASM_P6,P-6 Progress,Russia,Cold War,1960s-1970s,Early_Cruise,LOW,PUBLIC
T3,DECOY,UK_DECOY_SSE_Mk3,UK_DECOY_SSE_Mk3,SSE Mk 3,UK,Cold War,1960s-1980s,Historical_Decoy,LOW,PUBLIC
T3,MINE,UK_MINE_SeaUrchin,UK_MINE_SeaUrchin,Sea Urchin,UK,Cold War,1950s-1970s,Historical_Mine,LOW,PUBLIC
T3,SLBM,FR_SLBM_M1,FR_SLBM_M1,M1,France,Cold War,1971-1970s,Early_SLBM,MEDIUM,PUBLIC
T3,SLBM,RU_SLBM_R21,RU_SLBM_R21,R-21 (SS-N-5),Russia,Cold War,1963-1970s,Early_SLBM,MEDIUM,PUBLIC
T3,SLBM,US_SLBM_Polaris,US_SLBM_Polaris_A3,Polaris A3,USA,Cold War,1964-1980s,Early_SLBM,MEDIUM,PUBLIC
T3,TORP,RU_TORP_SET53,RU_TORP_SET53,SET-53 torpedo,Russia,Cold War,1950s-1960s,Acoustic_Homing,MEDIUM,PUBLIC
T3,TORP,US_TORP_Mk37,US_TORP_Mk37,Mk 37 Mod 0 torpedo,USA,Cold War,1956-1970s,Acoustic_Homing,HIGH,PUBLIC
T4,ASM,RU_ASM_P70,RU_ASM_P70,P-70 Ametist,Russia,Cold War,1968-1990s,Underwater_Launch_Cruise,HIGH,PUBLIC
T4,ASW,RU_ASW_Vyuga,RU_ASW_Vyuga,RPK-2 Vyuga,Russia,Cold War,1969-1990s,Rocket_Delivered,MEDIUM,PUBLIC
T4,SLBM,CN_SLBM_JL1,CN_SLBM_JL1,JL-1,China,Cold War,1980s-1990s,Early_SLBM,MEDIUM,PUBLIC
T4,SLBM,FR_SLBM_M2,FR_SLBM_M2,M2,France,Cold War,1974-1980s,Cold_War_SLBM,MEDIUM,PUBLIC
T4,SLBM,RU_SLBM_R27,RU_SLBM_R27,R-27 (SS-N-6),Russia,Cold War,1968-1980s,Cold_War_SLBM,MEDIUM,PUBLIC
T4,SLBM,US_SLBM_Poseidon,US_SLBM_Poseidon_C3,Poseidon C3,USA,Cold War,1971-1990s,Cold_War_SLBM,MEDIUM,PUBLIC
T4,STRAT,US_STRAT_RegulusII,US_STRAT_RegulusII,SSM-N-8B Regulus II,USA,Cold War,1958（取消）,Early_Strategic,LOW,ESTIMATED
T4,TORP,CN_TORP_Yu3,CN_TORP_Yu4,Yu-4 torpedo,China,Cold War,1970s-1990s,Heavyweight,LOW,PUBLIC
T4,TORP,RU_TORP_SET53,RU_TORP_SAET60,SAET-60 torpedo,Russia,Cold War,1960s-1970s,Acoustic_Homing,LOW,PUBLIC
T4,TORP,RU_TORP_SET53,RU_TORP_SET65,SET-65 torpedo,Russia,Cold War,1960s-1980s,Acoustic_Homing,MEDIUM,PUBLIC
T4,TORP,US_TORP_Mk37,US_TORP_Mk37_Mod2,Mk 37 Mod 2 torpedo,USA,Cold War,1960s-1970s,Wire_Guided,MEDIUM,PUBLIC
